1000,117000,4199
7000,117000,4206
13000,117000,4234
19000,117000,4246
25000,117000,4249
31000,117000,4268
37000,117000,4284
43000,117000,4280
49000,117000,4285
55000,117000,4296
61000,117000,4298
67000,117000,4298
73000,117000,4291
79000,117000,4285
85000,117000,4278
91000,117000,4285
97000,117000,4261
103000,117000,4292
109000,117000,4279
115000,117000,4261
121000,117000,4285
127000,117000,4285
133000,117000,4285
139000,117000,4298
145000,117000,4268
151000,117000,4259
157000,117000,4285
163000,117000,4291
169000,117000,4284
175000,117000,4286
181000,117000,4298
187000,117000,4298
193000,117000,4310
199000,117000,4305
205000,117000,4310
211000,117000,4273
217000,117000,4261
223000,117000,4327
229000,117000,4334
235000,117000,4334
241000,117000,4334
247000,117000,4324
253000,117000,4329
259000,117000,4340
265000,117000,4355
271000,117000,4355
277000,117000,4355
283000,117000,4351
289000,117000,4354
295000,117000,4368
301000,117000,4376
307000,117000,4368
313000,117000,4376
319000,117000,4383
325000,117000,4388
331000,117000,4404
337000,117000,4405
343000,117000,4437
349000,117000,4432
355000,117000,4437
361000,117000,4441
367000,117000,4437
373000,117000,4399
379000,117000,4298
1000,123000,4216
7000,123000,4249
13000,123000,4249
19000,123000,4268
25000,123000,4291
31000,123000,4298
37000,123000,4303
43000,123000,4329
49000,123000,4334
55000,123000,4354
61000,123000,4350
67000,123000,4355
73000,123000,4346
79000,123000,4347
85000,123000,4334
91000,123000,4334
97000,123000,4298
103000,123000,4341
109000,123000,4334
115000,123000,4334
121000,123000,4334
127000,123000,4341
133000,123000,4346
139000,123000,4350
145000,123000,4346
151000,123000,4347
157000,123000,4334
163000,123000,4334
169000,123000,4334
175000,123000,4334
181000,123000,4346
187000,123000,4340
193000,123000,4359
199000,123000,4359
205000,123000,4354
211000,123000,4334
217000,123000,4298
223000,123000,4315
229000,123000,4375
235000,123000,4375
241000,123000,4380
247000,123000,4370
253000,123000,4380
259000,123000,4379
265000,123000,4378
271000,123000,4388
277000,123000,4388
283000,123000,4397
289000,123000,4395
295000,123000,4400
301000,123000,4408
307000,123000,4408
313000,123000,4413
319000,123000,4411
325000,123000,4420
331000,123000,4429
337000,123000,4444
343000,123000,4448
349000,123000,4465
355000,123000,4461
361000,123000,4465
367000,123000,4453
373000,123000,4444
379000,123000,4379
1000,129000,4249
7000,129000,4249
13000,129000,4298
19000,129000,4315
25000,129000,4334
31000,129000,4334
37000,129000,4355
43000,129000,4360
49000,129000,4364
55000,129000,4375
61000,129000,4388
67000,129000,4388
73000,129000,4379
79000,129000,4388
85000,129000,4359
91000,129000,4350
97000,129000,4346
103000,129000,4376
109000,129000,4371
115000,129000,4368
121000,129000,4371
127000,129000,4367
133000,129000,4380
139000,129000,4384
145000,129000,4383
151000,129000,4371
157000,129000,4368
163000,129000,4363
169000,129000,4367
